title,content
秋韵声声思辨起，韵华灼灼论理明——我校第九届“秋韵杯”大学生辩论赛圆满落幕,
荣耀此刻，启航新程——经济学院和经济管理国家级实验教学示范中心（河北地质大学）2024年度学科竞赛表彰大会,为激励全院师生积极投身学科研究与竞赛活动，营造积极向上的学习氛围，经济学院和经济管理国家级实验教学示范中心（河北地质大学）于12月24日上午在春秋讲堂共同举办2024年度学科竞赛表彰大会，对经济学院参加2024年度学科竞赛获奖的师生进行表彰。河北地质大学副校长赵永强、实验实践教学中心主任杨武岐、教务处副处长李霞、经济管理实验中心主任乐腾、经济学院党委书记黄本春、经济学院院长李国柱、经济学院副院长牛晓耕、田杰以及赛事指导教师、获奖学生、学生代表参加本次大会。经济学院党委副书记赵明主持会议。李国柱首先发表讲话，并对2024年经济学院师生参赛及获奖情况进行发言。他表示学科竞赛是能够充分挖掘学生潜力、激发创新思维的重要平台，希望获奖师生能够再接再厉，取得更大的成绩，同时也希望广大师生以他们为榜样，积极参与学科竞赛，为个人的学术成长之路增添浓厚的一笔，也为学院争得荣誉与骄傲。在场领导为获奖学生代表颁奖，为获奖教师发放聘书。指导教师代表殷阿娜进行发言，殷阿娜讲述竞赛对于老师和学生的意义，提及团队协作精神在竞赛中的重要体现以及如何发挥指导老师的更大作用，鼓励学生秉持科学精神，精益求精，在竞赛中锤炼自我，为未来奠基。随后宋延彪同学作为获奖学生代表发言，他向辛苦付出的各位领导和老师表示衷心的感谢，呼吁同学们要深度思考，独立钻研，在学术的道路上砥砺前行，用拼搏与智慧书写青春的辉煌篇章。最后，赵永强对本次表彰大会进行总结讲话。他对经济学院过去一年在学科竞赛中取得的成绩给予了充分肯定，并分享了自己对竞赛的看法与见解，同时也对未来的工作提出了明确的要求和期望，希望经济学院学子在今后的生活中积极参与学术活动，昂首阔步，在更大的平台上展现经院学子的青春风采。荣誉在此刻定格，梦想于新程启航。本次表彰大会的成功举办，不仅是对获奖者的鼓励，更是对广大经济学院学生的动员，相信在学校和学院大力支持下，经济学院学子将在未来的学科竞赛中取得更加优异的成绩。
我校与马来西亚理科大学举行线上视频会,"12月24日上午，副校长李彦苍与马来西亚理科大学副校长纳里玛·萨马特、马来西亚教育文化协会主席邱玉萍、理事德俊英通过网络平台进行了视频会晤，双方就两校开展交流合作等事宜进行了会谈。会谈期间，李彦苍与纳里玛分别介绍了两校的办学历史、学科特色及国际交流合作等情况。双方还就合作办学、师生交流、学术合作等进行了讨论与磋商。马来西亚理科大学国际合作与流动中心、材料与矿产资源学院、物理学院主要负责人，我校国际交流合作处、地球科学学院、水资源环境学院、宝石与材料学院、国际教育交流中心共计21人参会。马来西亚理科大学(USM) 是马来西亚政府于1969年成立的继马来亚大学之后的第二所公立大学。学校本科专业齐全，有自然科学、应用科学、医学和健康科学、制药科学、建筑科学、社会科学、人文和教育等，并提供500多个专业领域的硕士和博士课程。其学术研究方面在国际上享有盛誉，被认为是马来西亚三所最著名的资深研究类大学之一。目前在校学生30,000多人，研究生7,000多人，来自世界50多个国家的国际学生1,000多人，是马来西亚学生在读人数最多的大学。"
我校召开第五届教师教学创新大赛工作推进会,12月23日下午，河北地质大学第五届教师教学创新大赛工作推进会在主楼四楼会议室召开，副校长赵永强出席会议，各教学单位相关负责人和高教研究中心（教师培训中心）全体人员参加会议，会议由高教研究中心（教师培训中心）主任陈娜主持。会上，陈娜解读了第五届教师教学创新大赛的组织形式、参赛内容、指标分配、绿色通道、奖项设置等内容。高教研究中心（教师培训中心）副主任刘倩就学校给予的教创赛支持政策和辅导资源进行了说明。各教学单位相关负责人就参赛对象选拔、比赛分组、比赛内容、评分标准、时间安排等进行了讨论。最后，赵永强指出，教创赛是广大教师钻研教学、创新教学的难得机会，学校高度重视这项工作，希望各教学单位充分认识举办大赛的重要意义，要广泛宣传，积极协调，营造全校踊跃参与的浓厚氛围。在“时间紧、任务重、标准高”的特殊备赛背景下，要集中力量打磨课程、提高质量，不断推进教师专业素养的提升。本次推进会明确了备赛的方向和目标，强调了教师教学创新大赛的重要性和紧迫性。通过院、校选拔赛的开展达到以赛促教、以赛促学、以赛促改、以赛促建的目的。
副校长赵永强带队参加管理学院国家级经管实验教学示范中心2024年度学科竞赛表彰大会,12月23日，管理学院国家级经管实验教学示范中心2024年度学科竞赛表彰大会在河北地质大学新校区举行。此次大会旨在表彰在过去一年中，在各类学科竞赛中取得优异成绩的管理学院师生，进一步激发师生的创新精神和参赛热情。副校长赵永强带队与教务处处长硕良勋、实验实践教学中心主任杨武岐、实验实践教学中心耿亚飞、管理学院党委书记周雪、管理学院院长白翠玲及管理学院的多位师生共同出席了此次大会。表彰大会由管理学院党委书记周雪主持。白翠玲在大会上对2024年学院参赛及获奖情况进行了详细总结。过去一年，学院积极组织师生参加各类竞赛，共参与38项国家级、省级及校级竞赛，涵盖多个学科领域。学院在国家级竞赛中表现出色，32项赛事获奖，其中一等奖4项，包括全国高校商业精英挑战赛会计与商业管理案例竞赛2项、全国第三届高校数智化商业决策创新大赛1项、全国大学生数智化业财融合竞赛1项；省级竞赛成绩同样斐然，57项赛事获奖，省赛一等奖4项。众多奖项的取得，充分展示了学院在教学、科研和实践方面的卓越实力。在表彰环节，赵永强等领导分别为获奖学生和优秀指导教师颁发奖品和聘书。获奖学生们在赛场上奋力拼搏，用智慧和汗水为学院赢得了荣誉，他们的优异表现是学院的骄傲。优秀指导教师们则以丰富的经验和专业的指导，助力学生在竞赛中脱颖而出。随后，指导教师代表杨建朝、赵凌云以及获奖学生代表张晨龙同学分别发言，分享了他们在竞赛过程中的宝贵经验和深刻感悟。赵永强发表讲话对学院过去一年在学科竞赛中取得的成绩给予了高度肯定，他结合自己在数学建模大赛中的指导经历与宝贵经验，谈了自己的理解与体会，同时对未来工作提出了明确要求和殷切期望。他强调，学科竞赛是培养学生创新精神和实践能力的重要平台，学院应继续深化改革，加强师资队伍建设，优化资源配置，为学生提供更多实践机会，推动竞赛活动深入发展。赵永强的讲话为学院未来发展指明了方向，坚定了全体师生在学科竞赛中再创佳绩的信心。表彰大会在热烈的掌声中圆满落幕，但管理学院追求卓越的脚步永不停歇。学院将以此次大会为新起点，携手共进，砥砺前行，在未来的学科竞赛舞台上绽放更加耀眼的光芒。
我校召开2016年党风廉政建设暨纪检监察工作会议,4月21日下午，我校在春秋讲堂召开2016年党风廉政建设暨纪检监察工作会议，校领导李军、王凤鸣、刘耀辉、南振兴、毛磊、侯书文出席会议。党委书记李军发表重要讲话，校长王凤鸣主持会议。学校全体中层干部参加会议。纪委书记南振兴作了纪委工作报告，总结2015年党风廉政建设和反腐败工作，安排部署了2016年工作。党委书记李军在讲话中强调，2016年党风廉政建设要落实好全面从严治党主体责任，坚持把纪律挺在前面，锲而不舍落实中央八项规定精神，深入开展“一问责八清理”专项行动，做好巡视整改工作，持续保持遏制腐败的高压态势，切实强化党内监督。李军要求，要将学校的部署落实到位，严格履行好党委主体责任，纪委监督责任，各单位领导班子要履行好“一岗双责”，形成长效机制，坚定不移推进全面从严治党，坚定不移推进我校党风廉政建设和反腐败工作，营造风清气正的教育生态环境，为学校各项事业发展打下坚实的政治基础。会上，李军、王凤鸣与各位校领导签订了《党风廉政建设承诺书》，二级单位代表到主席台签署了《党风廉政建设主体责任承诺书》，校领导为党风廉政监督员代表颁发了聘书。王凤鸣指出，坚定不移落实党风廉政建设主体责任和监督责任，建设好、维护好风清气正的校园政治生态，对保障学校各项事业的健康发展意义重大。他要求，各单位要认真学习领会并在工作中加以贯彻落实，要把校党委关于党风廉政建设的决策部署作为一项重要政治任务，与具体工作同谋划、同落实一岗双责，以确保党风廉政建设和反腐败各项工作取得实效。
我校杰出校友、华夏人寿保险公司总裁赵子良先生与经贸学院师生座谈,2016年4月15日，我校杰出校友、华夏人寿保险公司总裁赵子良先生莅临经贸学院并与经贸学院师生座谈。座谈会上，经贸学院院长刘德智教授高兴地向校友介绍了经贸学院在教学、科研、师资队伍建设等方面的发展情况，并表示，今后在校党委的正确领导下，在更名大学新的历史机遇下，经贸学院还会取得更大的成绩。赵子良先生说，祝贺石家庄经济学院成功更名为河北地质大学！至此母校更名大学之际，能够受邀见证这一历史性时刻，感到无上荣光！看到近年来母校取得的巨大进步，感到非常自豪和骄傲！对经贸学院取得的成绩表示祝贺！赵子良总裁饱含深情地回忆了在母校学习的美好时光，感谢母校的悉心培养！接着与师生们互动分享了自己的成长历程，并勉励学弟学妹们在当前大好的机遇下，应努力学习本领，将来为母校争光！刘德智教授盛情邀请赵子良总裁常回母校看看，多为学弟学妹实习、就业创造条件和机会。厦门大学曾五一教授、挪威奥斯福大学吴弘博士、赵子良先生在校期间的老师及同学以及经贸学院部分师生参加了此次座谈会。赵子良先生1994年毕业于我校统计学专业，2012年任华夏人寿保险公司总裁。
我校在捷克师生成功举办中国专题活动,4月12日，在捷克奥斯特拉发大学国际处和国际留学生俱乐部的协助下，我校在捷克交流的30多名师生成功举办了“国家与国家”（Nation4Nation）中国专题活动。“国家与国家”是奥斯特拉发大学国际留学生俱乐部在国际处支持下举办的系列活动之一，主要是为来自各国的留学生提供一个相互了解的平台，介绍和宣传各自国家、民族和特色文化。在有限的条件下，同学们群策群力，克服困难，因陋就简，自制了演出服装和道具。师生们首先利用精彩的PPT介绍了我国的历史、地理和人文特色，然后通过舞台表演和现场互动如黄梅戏、京剧唱段、民族舞蹈、书法、民族歌曲和太极拳等多方面展示了中国文化，最后请现场的观众品尝中国传统美食饺子把整个活动推向了高潮。奥斯特拉发技术大学国际处主任丹尼尔（Daniel）、奥斯特拉发大学国际处的露丝（Lucie）以及来自奥斯特拉发大学文学院的相关教师等作为特约嘉宾参加了当晚的活动。本次活动成功举办，好评如潮，在奥斯特拉法大学掀起了一股不小的中国风。奥斯特拉法技术大学当场表示希望我们能够到他们学校参加类似的活动。当晚，捷克电视台的记者还进行了现场节目录制和采访。4月13日捷克电视台第一频道的新闻节目中播出了相关报道。
飞扬青春梦，彩绘地大情——艺术设计学院在北校区举办井盖涂鸦活动,艺术设计学院师生为庆祝河北地质大学正式揭牌，在北校区开展了以“飞扬青春梦，彩绘地大情”为主题的井盖涂鸦活动，丰富校园文化生活，表达了师生对母校的深深祝福。活动于4月初正式开始，同学们充分发挥想象力在井盖上挥毫泼墨，将“新校徽”、“恐龙”、“海豚”、“卡车”等图案以缤纷色彩绘在井盖上，使原本不起眼的井盖变为“景盖”，成为吸引人们的眼球的新亮点，路过的师生纷纷放慢脚步欣赏。丰富的图案，绚丽的色彩，井盖变“景盖”活跃了校园气氛，既提醒了行人注意安全，也为河北地质大学增添了新的风采。井盖涂鸦活动充分激发了同学们的想象力和创造力，提升了同学们的活动能力和参与热情，充分展示了艺术设计学院同学奋发向上，敢于创新的风采，给校园文化增添了创意与精彩。
我校研究生在“2016年省级研究生创新资助”专项申报活动中取得佳绩,2016年4月18日，省教育厅传来喜讯，我校研究生在“2016年省级研究生创新资助”专项申报活动中再创佳绩，共有8个项目通过专家评审，其中重点项目2项，一般项目6项，共获科研资助5万元。“2016年省级研究生创新资助”项目是河北省教育厅、河北省发展改革委、河北省财政厅联合组织，为鼓励在校研究生积极参加各种创新活动，引导研究生选择富有挑战性的基础研究和应用研究课题，加强研究生科研创新意识和创新能力培养所开展的一项教育创新活动，旨在围绕服务河北省产业结构调整，实现产业转型升级和绿色崛起，培养河北省经济建设、科技进步和社会发展急需创新人才，实施提高研究生培养质量。我校历来重视研究生科研工作，研究生学院对每年度的校学生科研立项均精心组织，在研究生学院的大力宣传、校科技处的大力支持和导师的认真指导下，研究生的科研热情被极大提升，校内科研立项的数量、质量以及科研成果的水平均有不同层次的提升。2016年度的“河北省在读研究生创新资助”专项申报活动，研究生学院李锋书记和闫军印院长极为重视，直接授权团总支负责并对实施过程直接领导、严格监督；在校内初评阶段，各位评审老师展现出极大的人格魅力和奉献精神，他们都本着为学生服务的态度不计报酬、不辞辛劳，将每个项目的不足悉心汇总，提出针对性的建议，为本年度“河北省在读研究生创新资助”项目取得佳绩奠定了坚实的基础。借学校更名大学的东风，研究生学院也将一如既往、开拓创新、认真谋划、细处落实，不断提升我校研究生科研能力，为我校研究生科研取得更大成绩而不断努力。
老干部处组织离退休职工收看河北地质大学揭牌仪式,4月15日，“河北地质大学发展战略研讨会暨揭牌仪式”在我校春秋讲堂隆重举行，老干部处组织离退休职工收看了这次盛况的直播。老同志们早早来到了老干部活动中心八角厅，大家兴致勃勃，热烈交谈，大厅里座无虚席。9点整，仪式正式开始，老同志们认真地看着屏幕，看到一位位来宾，大家高兴地欢呼起来，尤其是看到校友代表，老人们更是欣慰。当现场的同学们宣读誓言、高唱《勘探队员之歌》时，许多老人眼眶湿润了。这里是他们工作、战斗了一辈子的地方，从53年建校时的宣化地质学校到今天的河北地质大学，他们将自己的青春和心血奉献在了这片热土上，当学校再次踏上新的征程，看到新一代地质人接过他们的接力棒，怎能不激动万分！雄关漫道真如铁，而今迈步从头越。老同志们衷心祝愿河北地质大学的明天更加灿烂辉煌！
经济管理实验中心教学资源开放第一期活动成功举办,经济管理实验中心近期组织了实验教学资源开放系列活动的第一期活动。4月14日下午，中心举行了商务礼仪实训平台教学观摩及体验活动。活动邀请校外商务礼仪培训专家王一杰老师担任主讲嘉宾。王老师从学生关注的面试礼仪开始，就职场着装礼仪、商务沟通礼仪等知识做了生动的讲解和示范，展现了一堂组织严谨、生动幽默、互动展示性强、兴趣调动与知识讲解完美配合的商务礼仪示范课。活动结束时，听讲的许多同学意犹未尽，希望后期利用经济管理实验中心的商务礼仪实训平台，继续学习更多的商务礼仪知识。商学院旅游管理、人力资源管理等教研室老师及其他学院的20多位老师、30多名学生参加了本次活动。4月16日至17日，中心举行了最新一代企业运营管理沙盘的教学观摩和实战体验活动。用友新道河北公司给予本次活动大力支持，安排有丰富经验的培训讲师组织授课。会计学院、商学院、管理科学与工程学院等学院相关教师、经济管理实验中心全体人员、部分准备参加沙盘比赛的同学以及感兴趣的学生参加了本次活动，在两天里体验了企业运营管理沙盘教学的互动性、竞争性、实战性、协作性、趣味性等特点，对沙盘课程、“新商战”沙盘软件和企业运营管理的主要过程有了更深的理解。经济管理实验中心教学资源开放第一期活动圆满结束了，中心将继续以资源开放为抓手，服务于学校创新型、应用型人才培养，请广大师生持续关注并积极参与后续活动。                                                      （
